Park,Restaurant,Item,Price,Details,Ratings,Review_Count,Image_URL,Meal
Universal Studios,TODAY CAFE,I Heart Vegan,$16.99 ,"roasted Portobello, peppers, zucchini, carrots, vegan jalapeño cheese, sun-dried tomato pesto, pressed cranberry artisan bread served with fresh fruit",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Little Italy Caprese Platter,$16.99 ,"fresh mozzarella, vine-ripened and oven roasted tomatoes, basil aioli, hot pressed ciabatta served with fresh fruit",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,The Bulls & The Bears Platter,$17.99 ,"smoky beef brisket, cheddar cheese, arugula, pickled red onion, horseradish cream, warm crusty baguette served with potato salad",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Park Avenue Avocado Toast,$15.99 ,"smashed avocados, toasted cashews, shaved fennel, roasted tomato puree, lemon vinaigrette, arugula, radicchio, toasted artisan French bread with fresh fruit
(Request no cashews for nut-sensitive options.)",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Smoked Salmon Lox Bagel*,$13.99 ,"smoked salmon, dill cream cheese and red onions on a toasted everything bagel served with fresh fruit


*Consuming raw or undercooked meats, poultry, seafood, shellfish, or eggs may increase your risk of foodborne illness",,,,Breakfast
Universal Studios,TODAY CAFE,Chicken Pesto Flatbread,$17.99 ,"cauliflower crust, pesto ricotta, grilled chicken, brussels sprouts, red peppers, mozzarella, pine nuts, balsamic glaze",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,The Traditional,$12.99 ,"Caesar style, house-made croutons, Parmigiano-Reggiano",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Kale with Oven Roasted Chicken,$15.99 ,"shaved fennel, red delicious apples, sun-dried cranberries, toasted pumpkin seeds, goat cheese, maple dijon vinaigrette",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Roasted Beets & Carrots,$13.99 ,"baby spinach, quinoa, edamame, avocado, gorgonzola, toasted walnuts, honey dijon vinaigrette
(Request no walnuts for nut-sensitive options.)(Request no edamame for soy protein-sensitive options.)",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Chopped Dill Pickle Ranch Salad,$13.49 ,"romaine lettuce, kale, red cabbage, roasted cauliflower, chickpeas, radishes, house-made pickles, croutons with a dill pickle and ranch dressing",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Soup of the Day,$6.49 ,,,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Potato Salad,$2.99 ,,,,,Lunch/Dinner
Universal Studios,TODAY CAFE,Lays®,$4.99 ,,,,,Snack
Universal Studios,TODAY CAFE,Doritos®,$4.99 ,,,,,Snack
Universal Studios,TODAY CAFE,Flamin' Hot® Cheetos®,$4.99 ,,,,,Snack
Universal Studios,TODAY CAFE,SunChips® Harvest Cheddar®,$4.99 ,,,,,Snack
Universal Studios,TODAY CAFE,Fountain Drinks,$4.79 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Fanta Orange, Sprite, Lemonade, Fuze Iced Tea",,,,Beverage
Universal Studios,TODAY CAFE,Hot Beverages,$4.79 ,,,,,Beverage
Universal Studios,TODAY CAFE,Hot Tea,$4.79 ,,,,,Beverage
Universal Studios,TODAY CAFE,Hot Cocoa,$4.79 ,,,,,Beverage
Universal Studios,TODAY CAFE,Iced Beverages,,cold brew or nitro cold brew iced coffee,,,,Beverage
Universal Studios,TODAY CAFE,Add Flavored Syrup,$0.99 ,"caramel, hazelnut, vanilla, chocolate",,,,Beverage
Universal Studios,TODAY CAFE,Bottled Water,$6.00 ,"premium bottled water, Vitamin Water",,,,Beverage
Universal Studios,TODAY CAFE,Bottled Drinks,$3.29 ,"whole milk, chocolate milk, almond milk, Simply juices",,,,Beverage
Universal Studios,TODAY CAFE,Monster®,$5.75 ,,,,,Beverage
Universal Studios,TODAY CAFE,Wine by the glass,,"Pinot Grigio- $13.00
Chardonnay - $13.00Prosecco - $15.00Rosé - $14.00Pinot Noir - $17.00Cabernet Sauvignon - $17.00",,,,Beverage
Universal Studios,TODAY CAFE,Draft Beer,,"Stella Artois - $13.50
Sam Adams Seasonal - $12.50",,,,Beverage
Universal Studios,TODAY CAFE,Left Hand Milk Stout,$11.75 ,,,,,Beverage
Universal Studios,TODAY CAFE,High Noon Pineapple Seltzer,$13.00 ,,,,,Beverage
Universal Studios,TODAY CAFE,Nütrl Orange Vodka Seltzer,$13.00 ,,,,,Beverage
Universal Studios,TODAY CAFE,Coca-Cola freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,TODAY CAFE,Extra day of refills for Coca-Cola freestyle® Souvenir Cup,$12.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $14.99 each, 2 for $16.99 each, or 1 for $18.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,"Bacon, Egg and Cheese Croissant",$9.49 ,"bacon, egg and cheese on a fresh baked croissant",,,,Breakfast
Universal Studios,SAN FRANCISCO PASTRY,"Ham, Egg and Cheese Croissant",$9.49 ,"ham, egg and cheese on a fresh baked croissant",,,,Breakfast
Universal Studios,SAN FRANCISCO PASTRY,Grilled Cheese & Tomato Soup,$14.99 ,"grilled cheese made with cheddar, muenster and mozzarella topped with bacon jam and served with a cup of creamy tomato soup",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Grilled Cheese & Clam Chowder Soup,$14.99 ,"grilled cheese made with cheddar, muenster and mozzarella topped with bacon jam and served with a cup of clam chowder soup",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Caprese,$13.99 ,"fresh mozzarella, vine-ripened tomatoes, fresh basil, sundried tomato pesto and basil aioli served on rosemary focaccia bread",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Roast Beef,$13.99 ,"shaved roast beef, arugula, pickled onions, Swiss cheese, brown mustard served on rosemary focaccia bread",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Hot Turkey Panini,$13.99 ,"shaved turkey, Gouda, bacon and roasted tomato aioli served on warm ciabatta",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Chilled Tuna Noodle Salad*,$17.99 ,"sesame seared tuna, sweet potato noodles, carrots, cucumber, cilantro, calamansi soy vinaigrette",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Chilled Tofu Noodle Salad,$13.99 ,"tofu, sweet potato noodles, carrots, cucumber, cilantro, calamansi soy vinaigrette",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Chilled Noodle Salad,$13.99 ,"sweet potato noodles, carrots, cucumber, cilantro, calamansi soy vinaigrette",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Asian Chicken Salad,$14.49 ,"mixed greens, edamame, cucumbers, cilantro, grilled chicken breast, crisp wontons, peanut ginger soy dressing",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Tomato & Mozzarella Salad,$13.49 ,"fresh mozzarella, cherry tomatoes, fresh basil, spring mix, croutons tossed in a lemon vinaigrette",,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Clam Chowder in Artisan Bread,$7.99 ,our classic clam chowder served in an artisan bread boule,,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Clam Chowder,$6.49 ,,,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Creamy Tomato in Artisan Bread,$7.99 ,creamy tomato served in an artisan bread boule,,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Creamy Tomato Soup,$6.49 ,,,,,Lunch/Dinner
Universal Studios,SAN FRANCISCO PASTRY,Pineapple Bowl,$6.29 ,,,,,Side
Universal Studios,SAN FRANCISCO PASTRY,Watermelon Bowl,$6.29 ,,,,,Side
Universal Studios,SAN FRANCISCO PASTRY,Potato Salad,$2.99 ,,,,,Side
Universal Studios,SAN FRANCISCO PASTRY,Mardi Gras Exclusive Desserts,$7.49 ,choose from a selection of Mardi Gras themed desserts,,,,Dessert
Universal Studios,SAN FRANCISCO PASTRY,Cakes and Snacks,$6.49 ,"variety of cakes, cheesecake, cream horns, brownies, napoleons, tiramisu",,,,Dessert
Universal Studios,SAN FRANCISCO PASTRY,"Croissants, Danishes, Muffins",$5.29 ,"variety of croissants, fruit and cheese danishes, and muffins",,,,Breakfast
Universal Studios,SAN FRANCISCO PASTRY,Cookies,$5.29 ,chocolate chip or oatmeal raisin,,,,Dessert
Universal Studios,SAN FRANCISCO PASTRY,Vegan Elderberry Croissant,$4.79 ,,,,,Breakfast
Universal Studios,SAN FRANCISCO PASTRY,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Extra day of refills for Coca-Cola freestyle® Souvenir Cup,$12.99 ,Add an extra day of free refills to your previously purchased Coca-Cola freestyle® Souvenir Cup,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Fountain Drinks,$4.79 ,"Coca-Cola, Coke Zero Sugar, Sprite, Minute Maid Lemonade, Gold Peak Tea",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Powerade,$5.05 ,"Mountain Berry Blast, Fruit Punch",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Hong Kong Boba Tea,$8.79 ,"Hong Kong style Oolong milk tea over ice with coffee boba, salted cheese foam",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Minute Maid Juice,$4.29 ,apple or orange,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Milk,$4.49 ,,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Bottled Water,$6.00 ,choice of premium bottled water or Perrier,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Hot Drinks,$4.79 ,"coffee, decaf, hot tea, hot cocoa",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Specialty Hot Drinks,$3.49 ,"cappuccino, espresso, latte",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Cold Brew Coffee,$5.99 ,cold brew or nitro cold brew,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Add Monin Flavor,$0.99 ,"caramel, chocolate, hazelnut, or vanilla",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Add Almond Vanilla Milk,$0.08 ,,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Bottled Beer,,"Budweiser - $9.75
Michelob Ultra, Miller Lite - $10.75Heavy Seas Citrus IPA - $11.75Stella Artois - $12.75Sierra Nevada Hazy Little Thing - $13.00Corona - $11.75",,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,High Noon Pineapple Seltzer,$13.00 ,,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Nütrl Orange Vodka Seltzer,$13.00 ,,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Mimosa,$15.00 ,,,,,Beverage
Universal Studios,SAN FRANCISCO PASTRY,Wine,$13.00 ,,,,,Beverage
Universal Studios,LUIGI'S,Meat Liker's Pizza Combo,$19.99 ,"an Extrava-looza of meat! personal size pizza topped with tomato sauce, ham, sausage, pepperoni, and 100% whole milk mozzarella cheese, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Meat Liker's Pizza,$14.99 ,"an Extrava-looza of meat! personal size pizza topped with tomato sauce, ham, sausage, pepperoni, and 100% whole milk mozzarella cheese",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Cheese Pizza Combo,$17.99 ,"personal size pizza topped with tomato sauce and 100% whole milk mozzarella cheese, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Cheese Pizza,$12.99 ,personal size pizza topped with tomato sauce and 100% whole milk mozzarella cheese,,,,Lunch/Dinner
Universal Studios,LUIGI'S,Meat Hater's Pizza Combo,$19.99 ,"personal size whole wheat crust pizza topped with fresh vegetables, tomato sauce and 100% whole milk mozzarella cheese, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Meat Hater's Pizza,$14.99 ,"personal size whole wheat crust pizza topped with fresh vegetables, tomato sauce and 100% whole milk mozzarella cheese",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Caesar Salad Combo,$15.99 ,"fresh cut romaine lettuce with Parmesan cheese, homemade Caesar dressing and crunchy croutons, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Caesar Salad,$6.99 ,"fresh cut romaine lettuce with Parmesan cheese, homemade Caesar dressing and crunchy croutons 
available as both an entrée and a side salad option(request no croutons for gluten-sensitive options)",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Mediterranean Salad Combo,$17.99 ,"marinated tuna, diced feta cheese, calamata olives, sliced red and green bell peppers and tomato wedges, served on a bed of fresh cut romaine lettuce with homemade Greek vinaigrette dressing, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Mediterranean Salad,$12.99 ,"marinated tuna, diced feta cheese, calamata olives, sliced red and green bell peppers and tomato wedges, served on a bed of fresh cut romaine lettuce with homemade Greek vinaigrette dressing",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Caprese Salad Combo,$16.99 ,"vine ripe tomatoes, fresh mozzarella, served over fresh cut romaine with a balsamic vinaigrette, served with a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Caprese Salad,$11.99 ,"vine ripe tomatoes, fresh mozzarella, served over fresh cut romaine with a balsamic vinaigrette",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Veggie Sandwich,$11.99 ,"guacamole, sprouts, tomatoes and roasted vegetables served on a freshly baked oat roll",,,,Breakfast
Universal Studios,LUIGI'S,Turkey Wrap Combo,$18.49 ,"sliced smoked turkey, jalapeño jack cheese, lettuce and tomato in a spinach wrap, served with Harvest Cheddar® Sunchips and a shake",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Turkey Wrap,$13.49 ,"sliced smoked turkey, jalapeño jack cheese, lettuce and tomato in a spinach wrap, served with Harvest Cheddar® Sunchips",,,,Lunch/Dinner
Universal Studios,LUIGI'S,Hummus,$6.49 ,homemade hummus served with assorted vegetables and pita bread,,,,Lunch/Dinner
Universal Studios,LUIGI'S,Fruit Plate,$9.49 ,"fresh cut pineapple, watermelon, cantaloupe, honeydew, orange and grapefruit on top of lettuce",,,,Side
Universal Studios,LUIGI'S,Fruit Cup,$6.29 ,"fresh cut watermelon, cantaloupe and honeydew",,,,Side
Universal Studios,LUIGI'S,Assorted Yogurt,$3.99 ,blueberry or strawberry,,,,Breakfast
Universal Studios,LUIGI'S,Chips,$4.99 ,"Harvest Cheddar® Sunchips, Rold Gold® Pretzels, Lays® Potato Chips",,,,Snack
Universal Studios,LUIGI'S,Buzz Cola,$4.99 ,zero calorie cherry flavored cola,,,,Beverage
Universal Studios,LUIGI'S,Fountain Soda,$4.29 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Fanta Orange, Barq’s Root Beer, HiC Lemonade, Gold Peak Iced Tea",,,,Beverage
Universal Studios,LUIGI'S,Milkshakes - $7.49,,"""100% Mammal Milk"" chocolate, vanilla or swirled",,,,Beverage
Universal Studios,LOUIE'S,Jumbo Con Carne Slice Combo,$19.09 ,"mozzarella, Italian sausage, pepperoni, meatball, house made dough, served with a side Caesar salad",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Con Carne Slice,$13.99 ,"mozzarella, Italian sausage, pepperoni, meatball, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Veggie Bianca Slice Combo,$19.09 ,"spinach, garlic cream sauce, mozzarella, peppers, onions, grape tomatoes, ricotta, Parmesan, house made dough, served with a side Caesar salad.",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Veggie Bianca Slice,$13.99 ,"spinach, garlic cream sauce, mozzarella, peppers, onions, grape tomatoes, ricotta, Parmesan, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Pepperoni Slice Combo,$17.09 ,"mozzarella, pepperoni, tomato sauce, house made dough, served with a side Caesar salad.",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Pepperoni Slice,$11.99 ,"mozzarella, pepperoni, tomato sauce, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Cheese Slice Combo,$16.39 ,"mozzarella, tomato sauce, house made dough, served with a side Caesar salad",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Jumbo Cheese Slice,$11.29 ,"mozzarella, tomato sauce, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Whole Con Carne Pizza,$45.99 ,"mozzarella, Italian sausage, pepperoni, meatball, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Whole Veggie Bianca Pizza,$45.99 ,"spinach, garlic cream sauce, mozzarella, peppers, onions, grape tomatoes, ricotta, Parmesan, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Whole Pepperoni Pizza,$42.99 ,"mozzarella, pepperoni, tomato sauce, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Whole Cheese Pizza,$38.99 ,"mozzarella, tomato sauce, house made dough",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Spaghetti & Meatballs Combo,$20.59 ,,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Spaghetti & Meatballs,$14.99 ,,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Burrata Ravioli Combo,$18.59 ,"burrata ravioli, marinara sauce, mozzarella, served with a side Caesar salad and a garlic knot",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Burrata Ravioli,$13.49 ,"burrata ravioli, marinara sauce, mozzarella, served with a garlic knot",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Vegan Sausage & Peppers Pasta,$14.49 ,"seasoned plant-based sausage crumbles with bell peppers, red onions, mushrooms, vegan parmesan, spaghetti pasta, house made marinara sauce, vegan garlic knot",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Meatball Sub Combo,$20.09 ,served with a side Caesar salad,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Meatball Sub,$14.99 ,,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Sausage Sub Combo,$19.09 ,"Italian sausage, provolone cheese, peppers, onions, on a hoagie roll, served with a side Caesar salad",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Sausage Sub,$13.99 ,"Italian sausage, provolone cheese, peppers, onions, on a hoagie roll",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Antipasto Salad,$13.99 ,"salami, pepperoni, olives, grape tomatoes, ciliegine mozzarella, pepperoncini, Italian dressing, served with a garlic knot",,,,Lunch/Dinner
Universal Studios,LOUIE'S,Chicken Caesar Salad,$13.99 ,request no croutons for gluten-sensitive optionsserved with a garlic knot,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Side Caesar Salad,$6.99 ,request no croutons for gluten-sensitive options,,,,Lunch/Dinner
Universal Studios,LOUIE'S,Watermelon Bowl,$6.29 ,,,,,Side
Universal Studios,LOUIE'S,Pineapple Bowl,$6.29 ,,,,,Side
Universal Studios,LOUIE'S,Cannoli,,"chocolate, pistachio or combo",,,,Dessert
Universal Studios,LOUIE'S,Tiramisu,$6.49 ,,,,,Dessert
Universal Studios,LOUIE'S,Chocolate Chip Cookie,$5.29 ,,,,,Dessert
Universal Studios,LOUIE'S,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,LOUIE'S,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,,Beverage
Universal Studios,LOUIE'S,Single Serve Coca-Cola Freestyle® cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola Freestyle® single-serve cup.,,,,Beverage
Universal Studios,LOUIE'S,Powerade,$5.05 ,Mountain Berry Blast,,,,Beverage
Universal Studios,LOUIE'S,Premium Bottled Water,$6.00 ,,,,,Beverage
Universal Studios,LOUIE'S,Minute Maid Apple Juice,$4.29 ,,,,,Beverage
Universal Studios,LOUIE'S,Hot Drinks,$4.79 ,coffee or hot cocoa,,,,Beverage
Universal Studios,LOUIE'S,Draft Beer,,"PeroniBrooklyn Pulp Art Bud Light
Abita® Purple Haze",,,,Beverage
Universal Studios,LOUIE'S,Canned Beer,,"Miller Lite 10.75
Mich Ultra 10.75Modelo Especial 11.75",,,,Beverage
Universal Studios,LOUIE'S,Wine,$15.00 ,"Pinot Grigio
ProseccoGraham + Fisk White WineGraham + Fisk Cab Sauv",,,,Beverage
Universal Studios,LOUIE'S,High Noon Pineapple Seltzer,$13.00 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Traditional Breakfast,$19.99 ,"fresh scrambled eggs, sausage links, black pudding, English bacon, baked beans, grilled tomato, sautéed mushrooms and breakfast potatoes",,,,Breakfast
Universal Studios,LEAKY CAULDRON,American Breakfast,$19.99 ,"fresh scrambled eggs, breakfast potatoes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Pancake Breakfast,$19.99 ,"three fluffy buttermilk pancakes, crisp bacon and link sausage with butter croissant",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Apple Oatmeal Flan with Yogurt & Fruit,$19.99 ,freshly baked flan of apples and oatmeal served with yogurt and fresh seasonal fruit,,,,Breakfast
Universal Studios,LEAKY CAULDRON,"Egg, Leek, & Mushroom Pasty",$19.99 ,"pastry wrapped scrambled eggs, mushrooms and leeks served with breakfast potatoes and fresh fruit",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Kid’s Traditional Breakfast,$13.99 ,"fresh scrambled eggs, sausage links, English bacon, baked beans, grilled tomato, sautéed mushrooms and breakfast potatoes",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Kid's Pancake Breakfast,$13.99 ,"two fluffy buttermilk pancakes, crisp bacon and link sausage with butter croissant",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Kid's American Breakfast,$13.99 ,"fresh scrambled eggs, breakfast potatoes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Blood Sausage,$5.99 ,,,,,Breakfast
Universal Studios,LEAKY CAULDRON,English Bacon,$5.99 ,,,,,Breakfast
Universal Studios,LEAKY CAULDRON,Scrambled Eggs,$3.49 ,,,,,Breakfast
Universal Studios,LEAKY CAULDRON,Roasted Potatoes,$5.49 ,,,,,Breakfast
Universal Studios,LEAKY CAULDRON,Fresh Brewed Coffee,$4.79 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Milk,$2.99 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Apple Juice,$3.49 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Orange Juice,$3.49 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Butterbeer™ Waffle,$19.99 ,"Butterbeer™ waffle served with Butterbeer™ syrup, Butterbeer™ cream, fresh strawberries and a butter barrel",,,,Breakfast
Universal Studios,LEAKY CAULDRON,Cottage Pie,$19.99 ,savory combination of beef and chunky vegetables in a potato crust served with a garden salad,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Fisherman’s Pie,$19.99 ,"salmon, shrimp and cod baked together under a potato crust served with garden salad",,,,Lunch/Dinner
